permno,hdrcusip,permco,siccd,nasdissuno,yyyymmdd,sharetype,securitytype,securitysubtype,usincflg,issuertype,primaryexch,conditionaltype,tradingstatusflg,dlycaldt,dlydelflg,dlyprc,dlyprcflg,dlycap,dlycapflg,dlyprevprc,dlyprevprcflg,dlyprevdt,dlyprevcap,dlyprevcapflg,dlyret,dlyretx,dlyreti,dlyretmissflg,dlyretdurflg,dlyorddivamt,dlynonorddivamt,dlyfacprc,dlydistretflg,dlyvol,dlyclose,dlylow,dlyhigh,dlybid,dlyask,dlyopen,dlynumtrd,dlymmcnt,dlyprcvol,dlycumfacpr,dlycumfacshr,cusip,ticker,exchangetier,shrout
84398,78462F10,46699,6726,0,20090102,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-02,N,92.96,TR,97753761.28,BP,90.24,TR,2008-12-31,94893496.32,PB,0.030142,0.030142,0.0,NA,D2,0.0,0.0,1.0,NO,227638500.0,92.96,89.85,93.44,92.99,92.99,90.44,,,21161274960.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090105,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-05,N,92.85,TR,97638088.8,BP,92.96,TR,2009-01-02,97753761.28,PB,-0.001183,-0.001183,0.0,NA,D3,0.0,0.0,1.0,NO,240697600.0,92.85,91.89,94.5533,92.82,92.83,92.63,,,22348772160.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090106,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-06,N,93.47,TR,98290060.96,BP,92.85,TR,2009-01-05,97638088.8,PB,0.006677,0.006677,0.0,NA,D1,0.0,0.0,1.0,NO,328481700.0,93.47,92.68,94.45,93.48,93.48,93.64,,,30703184499.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090107,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-07,N,90.67,TR,95345670.56,BP,93.47,TR,2009-01-06,98290060.96,PB,-0.029956,-0.029956,0.0,NA,D1,0.0,0.0,1.0,NO,281047600.0,90.67,90.2,92.26,90.66,90.62,92.0,,,25482585892.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090108,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-08,N,91.042,TR,95736853.86,BP,90.67,TR,2009-01-07,95345670.56,PB,0.004103,0.004103,0.0,NA,D1,0.0,0.0,1.0,NO,263834400.0,91.042,89.67,91.09,91.01,91.02,90.16,,,24020011444.8,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090109,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-09,N,89.09,TR,93684193.12,BP,91.042,TR,2009-01-08,95736853.86,PB,-0.021441,-0.021441,0.0,NA,D1,0.0,0.0,1.0,NO,331160900.0,89.09,85.36,91.32,89.08,89.07,91.16,,,29503124581.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090112,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-12,N,86.95,TR,91433837.6,BP,89.09,TR,2009-01-09,93684193.12,PB,-0.024021,-0.024021,0.0,NA,D3,0.0,0.0,1.0,NO,278008400.0,86.95,86.41,88.91,86.95,86.96,88.84,,,24172830380.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090113,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-13,N,87.11,TR,91602088.48,BP,86.95,TR,2009-01-12,91433837.6,PB,0.00184,0.00184,0.0,NA,D1,0.0,0.0,1.0,NO,356731700.0,87.11,86.2,87.88,87.04,87.04,86.73,,,31074898387.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090114,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-14,N,84.37,TR,88720792.16,BP,87.11,TR,2009-01-13,91602088.48,PB,-0.031455,-0.031455,0.0,NA,D1,0.0,0.0,1.0,NO,435967100.0,84.37,83.16,85.75,84.34,84.35,85.54,,,36782544227.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090115,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-15,N,84.4,TR,88752339.2,BP,84.37,TR,2009-01-14,88720792.16,PB,0.000356,0.000356,0.0,NA,D1,0.0,0.0,1.0,NO,533808800.0,84.4,81.72,85.25,84.5,84.5,84.12,,,45053462720.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090116,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-16,N,85.06,TR,89446374.08,BP,84.4,TR,2009-01-15,88752339.2,PB,0.00782,0.00782,0.0,NA,D1,0.0,0.0,1.0,NO,399307000.0,85.06,83.05,85.9876,84.97,84.98,85.86,,,33965053420.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090120,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-20,N,80.57,TR,84724833.76,BP,85.06,TR,2009-01-16,89446374.08,PB,-0.052786,-0.052786,0.0,NA,D4,0.0,0.0,1.0,NO,420108400.0,80.57,80.05,85.059,80.56,80.57,84.23,,,33848133788.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090121,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-21,N,84.05,TR,88384290.4,BP,80.57,TR,2009-01-20,84724833.76,PB,0.043192,0.043192,0.0,NA,D1,0.0,0.0,1.0,NO,364767200.0,84.05,80.47,84.24,84.04,84.05,81.94,,,30658683160.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090122,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-22,N,82.75,TR,87017252.0,BP,84.05,TR,2009-01-21,88384290.4,PB,-0.015467,-0.015467,0.0,NA,D1,0.0,0.0,1.0,NO,427940400.0,82.75,81.17,84.04,82.81,82.82,82.42,,,35412068100.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090123,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-23,N,83.11,TR,87395816.48,BP,82.75,TR,2009-01-22,87017252.0,PB,0.00435,0.00435,0.0,NA,D1,0.0,0.0,1.0,NO,386800600.0,83.11,80.57,83.99,83.12,83.13,80.9,,,32146997866.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090126,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-26,N,83.68,TR,87995210.24,BP,83.11,TR,2009-01-23,87395816.48,PB,0.006858,0.006858,0.0,NA,D3,0.0,0.0,1.0,NO,318269500.0,83.68,82.81,85.36,83.62,83.6,83.59,,,26632791760.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090127,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-27,N,84.53,TR,88889043.04,BP,83.68,TR,2009-01-26,87995210.24,PB,0.010158,0.010158,0.0,NA,D1,0.0,0.0,1.0,NO,274111900.0,84.53,83.3,85.15,84.64,84.65,84.13,,,23170678907.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090128,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-28,N,87.39,TR,91896527.52,BP,84.53,TR,2009-01-27,88889043.04,PB,0.033834,0.033834,0.0,NA,D1,0.0,0.0,1.0,NO,330317400.0,87.39,86.07,87.95,87.42,87.43,86.4,,,28866437586.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090129,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-29,N,84.55,TR,88910074.4,BP,87.39,TR,2009-01-28,91896527.52,PB,-0.032498,-0.032498,0.0,NA,D1,0.0,0.0,1.0,NO,294591500.0,84.55,84.47,87.4901,84.6,84.6,86.11,,,24907711325.0,1.0,1.0,78462F10,SPY,N/A,1051568
84398,78462F10,46699,6726,0,20090130,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-01-30,N,82.83,TR,87039254.94,BP,84.55,TR,2009-01-29,88910074.4,PB,-0.020343,-0.020343,0.0,NA,D1,0.0,0.0,1.0,NO,383464200.0,82.83,82.21,85.4,82.72,82.71,84.98,,,31762339686.0,1.0,1.0,78462F10,SPY,N/A,1050818
84398,78462F10,46699,6726,0,20090202,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-02-02,N,82.58,TR,86776550.44,BP,82.83,TR,2009-01-30,87039254.94,PB,-0.003018,-0.003018,0.0,NA,D3,0.0,0.0,1.0,NO,288488900.0,82.58,81.31,83.18,82.58,82.59,81.57,,,23823413362.0,1.0,1.0,78462F10,SPY,N/A,1050818
84398,78462F10,46699,6726,0,20090203,NS,FUND,ETF,Y,ACOR,A,RW,A,2009-02-03,N,83.74,TR,87995499.32,BP,82.58,TR,2009-02-02,86776550.44,PB,0.014047,0.014047,0.0,NA,D1,0.0,0.0,1.0,NO,278480600.0,83.74,82.22,84.36,83.77,83.76,83.1,,,23319965444.0,1.0,1.0,78462F10,SPY,N/A,1050818
