date,open,high,low,close,volume,dividend_amount,split_factor,DGS3MO,calendar_days_to_next,cash_return_to_next
2010-01-04,112.37,113.39,111.51,113.33,118944600.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2010-01-05,113.26,113.68,112.85,113.63,111579900.0,0.0,1.0,0.08,1,2.190906976951013e-06
2010-01-06,113.52,113.99,113.43,113.71,116074400.0,0.0,1.0,0.07,1,1.917139136997648e-06
2010-01-07,113.5,114.33,113.18,114.19,131091100.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2010-01-08,113.89,114.62,113.66,114.57,126402700.0,0.0,1.0,0.05,3,4.108570426319957e-06
2010-01-11,115.08,115.13,114.235,114.73,106375700.0,0.0,1.0,0.05,1,1.3695215999032229e-06
2010-01-12,113.97,114.21,113.22,113.66,163333400.0,0.0,1.0,0.04,1,1.0956718916599328e-06
2010-01-13,113.95,114.94,113.37,114.62,161821900.0,0.0,1.0,0.05,1,1.3695215999032229e-06
2010-01-14,114.49,115.14,114.42,114.93,115783700.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2010-01-15,114.73,114.84,113.2,113.64,212283100.0,0.0,1.0,0.05,4,5.478097653055514e-06
2010-01-19,113.62,115.13,113.59,115.06,139172600.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2010-01-20,114.28,114.45,112.98,113.89,216490100.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2010-01-21,113.92,114.27,111.56,111.7,344859500.0,0.0,1.0,0.05,1,1.3695215999032229e-06
2010-01-22,111.2,111.7416,109.09,109.21,345942400.0,0.0,1.0,0.06,3,4.930040141459813e-06
2010-01-25,110.21,110.41,109.41,109.77,186937400.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2010-01-26,109.34,110.47,109.04,109.31,211168700.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2010-01-27,109.17,110.08,108.33,109.83,271863600.0,0.0,1.0,0.07,1,1.917139136997648e-06
2010-01-28,110.19,110.25,107.91,108.57,316104000.0,0.0,1.0,0.08,1,2.190906976951013e-06
2010-01-29,109.04,109.8,107.22,107.39,310677600.0,0.0,1.0,0.08,3,6.572735330889756e-06
2010-02-01,108.15,109.07,107.5008,109.06,187864900.0,0.0,1.0,0.08,1,2.190906976951013e-06
2010-02-02,109.26,110.59,108.88,110.38,216327900.0,0.0,1.0,0.1,1,2.7383608263154e-06
2010-02-03,109.88,110.4815,109.51,109.83,172730600.0,0.0,1.0,0.1,1,2.7383608263154e-06
2010-02-04,108.98,109.03,106.42,106.44,356715600.0,0.0,1.0,0.1,1,2.7383608263154e-06
2010-02-05,106.56,106.88,104.58,106.66,493585700.0,0.0,1.0,0.09,3,7.393960838042446e-06
