permno,distcd,divamt,facpr,facshr,exdt,rcrddt,paydt
84398,1232,0.56143,0.0,0.0,2009-03-20,2009-03-24,2009-04-30
84398,1232,0.51819,0.0,0.0,2009-06-19,2009-06-23,2009-07-31
84398,1232,0.50833,0.0,0.0,2009-09-18,2009-09-22,2009-10-30
84398,1232,0.59019,0.0,0.0,2009-12-18,2009-12-22,2010-01-29
84398,1232,0.48038,0.0,0.0,2010-03-19,2010-03-23,2010-04-30
84398,1232,0.53128,0.0,0.0,2010-06-18,2010-06-22,2010-07-30
84398,1232,0.60213,0.0,0.0,2010-09-17,2010-09-21,2010-10-29
84398,1232,0.65276,0.0,0.0,2010-12-17,2010-12-21,2011-01-31
84398,1232,0.55332,0.0,0.0,2011-03-18,2011-03-22,2011-04-29
84398,1232,0.62762,0.0,0.0,2011-06-17,2011-06-21,2011-07-29
84398,1232,0.62495,0.0,0.0,2011-09-16,2011-09-20,2011-10-31
84398,1232,0.77013,0.0,0.0,2011-12-16,2011-12-20,2012-01-31
84398,1232,0.61389,0.0,0.0,2012-03-16,2012-03-20,2012-04-30
84398,1232,0.68826,0.0,0.0,2012-06-15,2012-06-19,2012-07-31
84398,1232,0.77945,0.0,0.0,2012-09-21,2012-09-25,2012-10-31
84398,1232,1.02183,0.0,0.0,2012-12-21,2012-12-26,2013-01-31
84398,1232,0.69372,0.0,0.0,2013-03-15,2013-03-19,2013-04-30
84398,1232,0.83912,0.0,0.0,2013-06-21,2013-06-25,2013-07-31
84398,1232,0.83795,0.0,0.0,2013-09-20,2013-09-24,2013-10-31
84398,1232,0.98025,0.0,0.0,2013-12-20,2013-12-24,2014-01-31
84398,1232,0.82461,0.0,0.0,2014-03-21,2014-03-25,2014-04-30
84398,1232,0.93669,0.0,0.0,2014-06-20,2014-06-24,2014-07-31
84398,1232,0.93919,0.0,0.0,2014-09-19,2014-09-23,2014-10-31
84398,1232,1.13492,0.0,0.0,2014-12-19,2014-12-23,2015-01-30
84398,1232,0.93081,0.0,0.0,2015-03-20,2015-03-24,2015-04-30
84398,1232,1.03007,0.0,0.0,2015-06-19,2015-06-23,2015-07-31
84398,1232,1.03343,0.0,0.0,2015-09-18,2015-09-22,2015-10-30
84398,1232,1.21155,0.0,0.0,2015-12-18,2015-12-22,2016-01-29
84398,1232,1.0496,0.0,0.0,2016-03-18,2016-03-22,2016-04-29
84398,1232,1.07844,0.0,0.0,2016-06-17,2016-06-21,2016-07-29
84398,1232,1.08207,0.0,0.0,2016-09-16,2016-09-20,2016-10-31
84398,1232,1.32893,0.0,0.0,2016-12-16,2016-12-20,2017-01-31
84398,1232,1.03312,0.0,0.0,2017-03-17,2017-03-21,2017-04-28
84398,1232,1.18311,0.0,0.0,2017-06-16,2017-06-20,2017-07-31
84398,1232,1.23457,0.0,0.0,2017-09-15,2017-09-18,2017-10-31
84398,1232,1.35133,0.0,0.0,2017-12-15,2017-12-18,2018-01-31
84398,1232,1.09678,0.0,0.0,2018-03-16,2018-03-19,2018-04-30
84398,1232,1.24557,0.0,0.0,2018-06-15,2018-06-18,2018-07-31
84398,1232,1.32261,0.0,0.0,2018-09-21,2018-09-24,2018-10-31
84398,1232,1.43543,0.0,0.0,2018-12-21,2018-12-24,2019-01-31
84398,1232,1.23312,0.0,0.0,2019-03-15,2019-03-18,2019-04-30
84398,1232,1.43164,0.0,0.0,2019-06-21,2019-06-24,2019-07-31
84398,1232,1.38362,0.0,0.0,2019-09-20,2019-09-23,2019-10-31
84398,1232,1.56999,0.0,0.0,2019-12-20,2019-12-23,2020-01-31
84398,1232,1.40556,0.0,0.0,2020-03-20,2020-03-23,2020-04-30
84398,1232,1.36624,0.0,0.0,2020-06-19,2020-06-22,2020-07-31
84398,1232,1.33922,0.0,0.0,2020-09-18,2020-09-21,2020-10-30
84398,1232,1.58,0.0,0.0,2020-12-18,2020-12-21,2021-01-29
84398,1232,1.27779,0.0,0.0,2021-03-19,2021-03-22,2021-04-30
84398,1232,1.37587,0.0,0.0,2021-06-18,2021-06-21,2021-07-30
84398,1232,1.42812,0.0,0.0,2021-09-17,2021-09-20,2021-10-29
84398,1232,1.63643,0.0,0.0,2021-12-17,2021-12-20,2022-01-31
84398,1232,1.36601,0.0,0.0,2022-03-18,2022-03-21,2022-04-29
84398,1232,1.57687,0.0,0.0,2022-06-17,2022-06-21,2022-07-29
84398,1232,1.5964,0.0,0.0,2022-09-16,2022-09-19,2022-10-31
84398,1232,1.7814,0.0,0.0,2022-12-16,2022-12-19,2023-01-31
84398,1232,1.5062,0.0,0.0,2023-03-17,2023-03-20,2023-04-28
84398,1232,1.63837,0.0,0.0,2023-06-16,2023-06-20,2023-07-31
84398,1232,1.58317,0.0,0.0,2023-09-15,2023-09-18,2023-10-31
84398,1232,1.90607,0.0,0.0,2023-12-15,2023-12-18,2024-01-31
84398,1232,1.59494,0.0,0.0,2024-03-15,2024-03-18,2024-04-30
84398,1232,1.75902,0.0,0.0,2024-06-21,2024-06-21,2024-07-31
84398,1232,1.74553,0.0,0.0,2024-09-20,2024-09-20,2024-10-31
84398,1232,1.96555,0.0,0.0,2024-12-20,2024-12-20,2025-01-31
89468,1222,0.28525,0.0,0.0,2009-02-02,2009-02-04,2009-02-06
89468,1222,0.28215,0.0,0.0,2009-03-02,2009-03-04,2009-03-06
89468,1222,0.30213,0.0,0.0,2009-04-01,2009-04-03,2009-04-07
89468,1222,0.29668,0.0,0.0,2009-05-01,2009-05-05,2009-05-07
89468,1222,0.30543,0.0,0.0,2009-06-01,2009-06-03,2009-06-05
89468,1222,0.30332,0.0,0.0,2009-07-01,2009-07-06,2009-07-08
89468,1222,0.31848,0.0,0.0,2009-08-03,2009-08-05,2009-08-07
89468,1222,0.30747,0.0,0.0,2009-09-01,2009-09-03,2009-09-08
89468,1222,0.30727,0.0,0.0,2009-10-01,2009-10-05,2009-10-07
89468,1222,0.30831,0.0,0.0,2009-11-02,2009-11-04,2009-11-06
89468,1222,0.30659,0.0,0.0,2009-12-01,2009-12-03,2009-12-07
89468,1222,0.31818,0.0,0.0,2009-12-29,2009-12-31,2010-01-05
89468,1222,0.32479,0.0,0.0,2010-02-01,2010-02-03,2010-02-05
89468,1222,0.28964,0.0,0.0,2010-03-01,2010-03-03,2010-03-05
89468,1222,0.33167,0.0,0.0,2010-04-01,2010-04-06,2010-04-08
89468,1222,0.32004,0.0,0.0,2010-05-03,2010-05-05,2010-05-07
89468,1222,0.32585,0.0,0.0,2010-06-01,2010-06-03,2010-06-07
89468,1222,0.30953,0.0,0.0,2010-07-01,2010-07-06,2010-07-08
89468,1222,0.32442,0.0,0.0,2010-08-02,2010-08-04,2010-08-06
89468,1222,0.32225,0.0,0.0,2010-09-01,2010-09-03,2010-09-08
89468,1222,0.39223,0.0,0.0,2010-10-01,2010-10-05,2010-10-07
89468,1222,0.31942,0.0,0.0,2010-11-01,2010-11-03,2010-11-05
89468,1222,0.33977,0.0,0.0,2010-12-01,2010-12-03,2010-12-07
89468,1222,0.3204,0.0,0.0,2010-12-28,2010-12-30,2011-01-04
89468,1222,0.31995,0.0,0.0,2011-02-01,2011-02-03,2011-02-07
89468,1222,0.29689,0.0,0.0,2011-03-01,2011-03-03,2011-03-07
89468,1222,0.38582,0.0,0.0,2011-04-01,2011-04-05,2011-04-07
89468,1222,0.40009,0.0,0.0,2011-05-02,2011-05-04,2011-05-06
89468,1222,0.352,0.0,0.0,2011-06-01,2011-06-03,2011-06-07
89468,1222,0.31966,0.0,0.0,2011-07-01,2011-07-06,2011-07-08
89468,1222,0.32517,0.0,0.0,2011-08-01,2011-08-03,2011-08-05
89468,1222,0.32245,0.0,0.0,2011-09-01,2011-09-06,2011-09-08
89468,1222,0.3059,0.0,0.0,2011-10-03,2011-10-05,2011-10-07
89468,1222,0.29946,0.0,0.0,2011-11-01,2011-11-03,2011-11-07
89468,1222,0.28984,0.0,0.0,2011-12-01,2011-12-05,2011-12-07
89468,1222,0.37986,0.0,0.0,2011-12-27,2011-12-29,2012-01-04
89468,1222,0.28879,0.0,0.0,2012-02-01,2012-02-03,2012-02-07
89468,1222,0.26678,0.0,0.0,2012-03-01,2012-03-05,2012-03-07
89468,1222,0.29,0.0,0.0,2012-04-02,2012-04-04,2012-04-09
89468,1222,0.2835,0.0,0.0,2012-05-01,2012-05-03,2012-05-07
89468,1222,0.26265,0.0,0.0,2012-06-01,2012-06-05,2012-06-07
89468,1222,0.26882,0.0,0.0,2012-07-02,2012-07-05,2012-07-09
89468,1222,0.27251,0.0,0.0,2012-08-01,2012-08-03,2012-08-07
89468,1222,0.27173,0.0,0.0,2012-09-04,2012-09-06,2012-09-10
89468,1222,0.25968,0.0,0.0,2012-10-01,2012-10-03,2012-10-05
89468,1222,0.26955,0.0,0.0,2012-11-01,2012-11-05,2012-11-07
89468,1222,0.24482,0.0,0.0,2012-12-03,2012-12-05,2012-12-07
89468,1222,0.26825,0.0,0.0,2012-12-26,2012-12-28,2013-01-02
89468,1222,0.26018,0.0,0.0,2013-02-01,2013-02-05,2013-02-07
89468,1222,0.25385,0.0,0.0,2013-03-01,2013-03-05,2013-03-07
89468,1222,0.25513,0.0,0.0,2013-04-01,2013-04-03,2013-04-05
89468,1222,0.26057,0.0,0.0,2013-05-01,2013-05-03,2013-05-07
89468,1222,0.27508,0.0,0.0,2013-06-03,2013-06-05,2013-06-07
89468,1222,0.25161,0.0,0.0,2013-07-01,2013-07-03,2013-07-08
89468,1222,0.26998,0.0,0.0,2013-08-01,2013-08-05,2013-08-07
89468,1222,0.27903,0.0,0.0,2013-09-03,2013-09-05,2013-09-09
89468,1222,0.27772,0.0,0.0,2013-10-01,2013-10-03,2013-10-07
89468,1222,0.28786,0.0,0.0,2013-11-01,2013-11-05,2013-11-07
89468,1222,0.31,0.0,0.0,2013-12-02,2013-12-04,2013-12-06
89468,1222,0.33468,0.0,0.0,2013-12-26,2013-12-30,2014-01-02
89468,1222,0.27556,0.0,0.0,2014-02-03,2014-02-05,2014-02-07
89468,1222,0.26328,0.0,0.0,2014-03-03,2014-03-05,2014-03-07
89468,1222,0.28022,0.0,0.0,2014-04-01,2014-04-03,2014-04-07
89468,1222,0.26931,0.0,0.0,2014-05-01,2014-05-05,2014-05-07
89468,1222,0.29384,0.0,0.0,2014-06-02,2014-06-04,2014-06-06
89468,1222,0.2918,0.0,0.0,2014-07-01,2014-07-03,2014-07-08
89468,1222,0.2998,0.0,0.0,2014-08-01,2014-08-05,2014-08-07
89468,1222,0.27102,0.0,0.0,2014-09-02,2014-09-04,2014-09-08
89468,1222,0.28937,0.0,0.0,2014-10-01,2014-10-03,2014-10-07
89468,1222,0.29,0.0,0.0,2014-11-03,2014-11-05,2014-11-07
89468,1222,0.27656,0.0,0.0,2014-12-01,2014-12-03,2014-12-05
89468,1222,0.26129,0.0,0.0,2014-12-24,2014-12-29,2014-12-31
89468,1222,0.27902,0.0,0.0,2015-02-02,2015-02-04,2015-02-06
89468,1222,0.25209,0.0,0.0,2015-03-02,2015-03-04,2015-03-06
89468,1222,0.27308,0.0,0.0,2015-04-01,2015-04-06,2015-04-08
89468,1222,0.2581,0.0,0.0,2015-05-01,2015-05-05,2015-05-07
89468,1222,0.26436,0.0,0.0,2015-06-01,2015-06-03,2015-06-05
89468,1222,0.25817,0.0,0.0,2015-07-01,2015-07-06,2015-07-08
89468,1222,0.26743,0.0,0.0,2015-08-03,2015-08-05,2015-08-07
89468,1222,0.26267,0.0,0.0,2015-09-01,2015-09-03,2015-09-08
89468,1222,0.25626,0.0,0.0,2015-10-01,2015-10-05,2015-10-07
89468,1222,0.2666,0.0,0.0,2015-11-02,2015-11-04,2015-11-06
89468,1222,0.25652,0.0,0.0,2015-12-01,2015-12-03,2015-12-07
89468,1222,0.25403,0.0,0.0,2015-12-24,2015-12-29,2015-12-31
89468,1222,0.24103,0.0,0.0,2016-02-01,2016-02-03,2016-02-05
89468,1222,0.2484,0.0,0.0,2016-03-01,2016-03-03,2016-03-07
89468,1222,0.27037,0.0,0.0,2016-04-01,2016-04-05,2016-04-07
89468,1222,0.26019,0.0,0.0,2016-05-02,2016-05-04,2016-05-06
89468,1222,0.26727,0.0,0.0,2016-06-01,2016-06-03,2016-06-07
89468,1222,0.25518,0.0,0.0,2016-07-01,2016-07-06,2016-07-08
89468,1222,0.25815,0.0,0.0,2016-08-01,2016-08-03,2016-08-05
89468,1222,0.25417,0.0,0.0,2016-09-01,2016-09-06,2016-09-08
89468,1222,0.24707,0.0,0.0,2016-10-03,2016-10-05,2016-10-07
89468,1222,0.24986,0.0,0.0,2016-11-01,2016-11-03,2016-11-07
89468,1222,0.24268,0.0,0.0,2016-12-01,2016-12-05,2016-12-07
89468,1222,0.30857,0.0,0.0,2016-12-22,2016-12-27,2016-12-29
89468,1222,0.25916,0.0,0.0,2017-02-01,2017-02-03,2017-02-07
89468,1222,0.23388,0.0,0.0,2017-03-01,2017-03-03,2017-03-07
89468,1222,0.25456,0.0,0.0,2017-04-03,2017-04-05,2017-04-07
89468,1222,0.25481,0.0,0.0,2017-05-01,2017-05-03,2017-05-05
89468,1222,0.26299,0.0,0.0,2017-06-01,2017-06-05,2017-06-07
89468,1222,0.25764,0.0,0.0,2017-07-03,2017-07-06,2017-07-10
89468,1222,0.26866,0.0,0.0,2017-08-01,2017-08-03,2017-08-07
89468,1222,0.26264,0.0,0.0,2017-09-01,2017-09-06,2017-09-08
89468,1222,0.25239,0.0,0.0,2017-10-02,2017-10-03,2017-10-06
89468,1222,0.26307,0.0,0.0,2017-11-01,2017-11-02,2017-11-07
89468,1222,0.2547,0.0,0.0,2017-12-01,2017-12-04,2017-12-07
89468,1222,0.26156,0.0,0.0,2017-12-21,2017-12-22,2017-12-28
89468,1222,0.25455,0.0,0.0,2018-02-01,2018-02-02,2018-02-07
89468,1222,0.23898,0.0,0.0,2018-03-01,2018-03-02,2018-03-07
89468,1222,0.26043,0.0,0.0,2018-04-02,2018-04-03,2018-04-06
89468,1222,0.26208,0.0,0.0,2018-05-01,2018-05-02,2018-05-07
89468,1222,0.28069,0.0,0.0,2018-06-01,2018-06-04,2018-06-07
89468,1222,0.27494,0.0,0.0,2018-07-02,2018-07-03,2018-07-09
89468,1222,0.26681,0.0,0.0,2018-08-01,2018-08-02,2018-08-07
89468,1222,0.27233,0.0,0.0,2018-09-04,2018-09-05,2018-09-10
89468,1222,0.26087,0.0,0.0,2018-10-01,2018-10-02,2018-10-05
89468,1222,0.2747,0.0,0.0,2018-11-01,2018-11-02,2018-11-07
89468,1222,0.26684,0.0,0.0,2018-12-03,2018-12-04,2018-12-07
89468,1262,0.28189,0.0,0.0,2018-12-18,2018-12-19,2018-12-24
89468,1222,0.27484,0.0,0.0,2019-02-01,2019-02-04,2019-02-07
89468,1222,0.25329,0.0,0.0,2019-03-01,2019-03-04,2019-03-07
89468,1222,0.27819,0.0,0.0,2019-04-01,2019-04-02,2019-04-05
89468,1222,0.25891,0.0,0.0,2019-05-01,2019-05-02,2019-05-07
89468,1222,0.26953,0.0,0.0,2019-06-03,2019-06-04,2019-06-07
89468,1222,0.26016,0.0,0.0,2019-07-01,2019-07-02,2019-07-08
89468,1222,0.26395,0.0,0.0,2019-08-01,2019-08-02,2019-08-07
89468,1222,0.26018,0.0,0.0,2019-09-03,2019-09-04,2019-09-09
89468,1222,0.25009,0.0,0.0,2019-10-01,2019-10-02,2019-10-07
89468,1222,0.24564,0.0,0.0,2019-11-01,2019-11-04,2019-11-07
89468,1222,0.24051,0.0,0.0,2019-12-02,2019-12-03,2019-12-06
89468,1262,0.21762,0.0,0.0,2019-12-19,2019-12-20,2019-12-26
89468,1222,0.24197,0.0,0.0,2020-02-03,2020-02-04,2020-02-07
89468,1222,0.22924,0.0,0.0,2020-03-02,2020-03-03,2020-03-06
89468,1222,0.23802,0.0,0.0,2020-04-01,2020-04-02,2020-04-07
